[indx],Wine,Type,Variety,Cost,Review,Rating,Overall,Taste,Store,wineName,wineVintage,TypeClassifier,url
11,2009 Punto y Coma Old Vine Garnacha by Castillo de Maluenda,Red,Garnacha,$8.99,Punto y Coma Garnacha 2009 - The Calatayud Strikes Again! (http://www.reversewinesnob.com/2013/06/punto-y-coma-garnacha-2009.html),Bulk Buy,8.8,9.0,Other,Punto y Coma Old Vine Garnacha by Castillo de Maluenda,2009,http://www.reversewinesnob.com/2013/06/punto-y-coma-garnacha-2009.html,Red
12,2009 Rocca dell'Olmo Barbaresco,Red,Nebbiolo,$9.99,Brunello and Barbaresco On The Cheap - Trader Joe's Week Wines #6 and #7 (http://www.reversewinesnob.com/2013/06/brunello-and-barbaresco-on-cheap-trader-joes.html),Bulk Buy,8.8,9.0,Trader Joe's,Rocca dell'Olmo Barbaresco,2009,http://www.reversewinesnob.com/2013/06/brunello-and-barbaresco-on-cheap-trader-joes.html,Red
13,2010 Mazzoni Rosso di Toscana,Red,Blend,$9.99,Mazzoni Rosso di Toscana 2010 - Montalcino For Less Moola (http://www.reversewinesnob.com/2013/08/mazzoni-rosso-di-toscana.html),Bulk Buy,8.8,9.0,Other,Mazzoni Rosso di Toscana,2010,http://www.reversewinesnob.com/2013/08/mazzoni-rosso-di-toscana.html,Red
14,2011 Sledgehammer Zinfandel,Red,Zinfandel,$9.99,Sledgehammer Zinfandel 2011 - Much More Than A Catchy Name (http://www.reversewinesnob.com/2014/06/sledgehammer-zinfandel.html),Bulk Buy,8.8,9.0,Other,Sledgehammer Zinfandel,2011,http://www.reversewinesnob.com/2014/06/sledgehammer-zinfandel.html,Red
15,2012 Compania de Vinedos Iberian Yaso Toro,Red,Tempranillo,$9.89,Yaso Toro 2012 - Yahoo! (http://www.reversewinesnob.com/2014/03/yaso-toro.html),Bulk Buy,8.8,9.0,Costco,Compania de Vinedos Iberian Yaso Toro,2012,http://www.reversewinesnob.com/2014/03/yaso-toro.html,Red
16,2013 Pine Ridge Chenin Blanc + Viognier,White,Blend,$9.99,Pine Ridge Chenin Blanc + Viognier 2013 - Trader Joe's Top Picks Wine #2 (http://www.reversewinesnob.com/2014/05/pine-ridge-chenin-blanc-viognier.html),Bulk Buy,8.8,9.0,Trader Joe's,Pine Ridge Chenin Blanc + Viognier,2013,http://www.reversewinesnob.com/2014/05/pine-ridge-chenin-blanc-viognier.html,White
17,2012 Merino Syrah,Red,Syrah,$13.99,Merino Syrah 2012 - Simply Luscious (http://www.reversewinesnob.com/2014/09/merino-syrah.html),Bulk Buy,8.6,9.0,Other,Merino Syrah,2012,http://www.reversewinesnob.com/2014/09/merino-syrah.html,Red
18,2009 Marchesi de Frescobaldi Nipozzano Chianti Rufina Riserva,Red,Sangiovese,$16.99,Frescobaldi Nipozzano Chianti Rufina Riserva 2009 - Love At First Sniff (http://www.reversewinesnob.com/2013/04/frescobaldi-nipozzano-chianti-rufina-riserva.html),Bulk Buy,8.5,10.0,Costco,Marchesi de Frescobaldi Nipozzano Chianti Rufina Riserva,2009,http://www.reversewinesnob.com/2013/04/frescobaldi-nipozzano-chianti-rufina-riserva.html,Red
19,2009 Scacciadiavoli Montefalco Rosso,Red,Blend,$16.99,Montefalco Rosso - The Magic of Sagrantino (http://www.reversewinesnob.com/2014/01/montefalco-rosso-magic-of-sagrantino.html),Bulk Buy,8.5,10.0,Other,Scacciadiavoli Montefalco Rosso,2009,http://www.reversewinesnob.com/2014/01/montefalco-rosso-magic-of-sagrantino.html,Red
20,2009 Seleccion de Torres Celeste Crianza,Red,Tempranillo,$16.99,Reveling in the Wine of Ribera Del Duero Plus 3 Top Value Picks From This Region (http://www.reversewinesnob.com/2013/04/reveling-in-the-wine-of-ribera-del-duero.html),Bulk Buy,8.5,10.0,Other,Seleccion de Torres Celeste Crianza,2009,http://www.reversewinesnob.com/2013/04/reveling-in-the-wine-of-ribera-del-duero.html,Red
21,2006 Bodegas Ondarre Rioja Reserva,Red,Tempranillo,$11.99,Bodegas Ondarre Reserva 2006 - Rioja Racks Up Another Winner (http://www.reversewinesnob.com/2014/03/bodegas-ondarre-rioja-reserva.html),Bulk Buy,8.5,9.0,Other,Bodegas Ondarre Rioja Reserva,2006,http://www.reversewinesnob.com/2014/03/bodegas-ondarre-rioja-reserva.html,Red
22,2008 Bodegas Borsao Berola,Red,Blend,$10.99,Borsao Berola 2008 - Absolutely Fabulous (http://www.reversewinesnob.com/2012/11/borsao-berola-2008-absolutely-fabulous.html),Bulk Buy,8.5,9.0,Other,Bodegas Borsao Berola,2008,http://www.reversewinesnob.com/2012/11/borsao-berola-2008-absolutely-fabulous.html,Red
23,2008 Saladini Pilastri Pregio del Conte,Red,Blend,$11.99,Saladini Pilastri Pregio del Conte 2008: Montepulciano + Aglianico = Love (http://www.reversewinesnob.com/2012/10/saladini-pilastri-pregio-del-conte-2008.html),Bulk Buy,8.5,9.0,Other,Saladini Pilastri Pregio del Conte,2008,http://www.reversewinesnob.com/2012/10/saladini-pilastri-pregio-del-conte-2008.html,Red
24,2009 Di Majo Norante Ramitello Biferno Rosso ,Red,Montepulciano,$11.99,Di Majo Norante Ramitello 2009 - Majorly Good (http://www.reversewinesnob.com/2013/03/di-majo-norante-ramitello-2009-majorly-good.html),Bulk Buy,8.5,9.0,Other,Di Majo Norante Ramitello Biferno Rosso ,2009,http://www.reversewinesnob.com/2013/03/di-majo-norante-ramitello-2009-majorly-good.html,Red
25,2009 Stefano Farina Le Brume Langhe Rosso,Red,Blend,$11.99,Stefano Farina Le Brume Langhe Rosso 2009 - An Intriguing Blend That Hits All The Right Notes (http://www.reversewinesnob.com/2013/10/stefano-farina-le-brume-langhe-rosso.html),Bulk Buy,8.5,9.0,Costco,Stefano Farina Le Brume Langhe Rosso,2009,http://www.reversewinesnob.com/2013/10/stefano-farina-le-brume-langhe-rosso.html,Red
26,2010 Atteca Old Vines Garnacha,Red,Garnacha,$11.99,Atteca Old Vines Garnacha 2010 - Costco Week Wine #3 (http://www.reversewinesnob.com/2013/02/atteca-old-vines-garnacha-2010-costco.html),Bulk Buy,8.5,9.0,Costco,Atteca Old Vines Garnacha,2010,http://www.reversewinesnob.com/2013/02/atteca-old-vines-garnacha-2010-costco.html,Red
27,2010 Bodega Colomé Amalaya,Red,Malbec,$11.49,"Bodega Colomé Amalaya 2010 - Smooth, Sophisticated and Sultry (http://www.reversewinesnob.com/2012/09/bodega-colome-amalaya-2010-smooth.html)",Bulk Buy,8.5,9.0,Other,Bodega Colomé Amalaya,2010,http://www.reversewinesnob.com/2012/09/bodega-colome-amalaya-2010-smooth.html,Red
28,2010 Bodegas Borsao Tres Picos Garnacha,Red,Garnacha,$11.99,Borsao Tres Picos Garnacha 2010 - Great Garnacha! (http://www.reversewinesnob.com/2013/03/borsao-tres-picos-garnacha.html),Bulk Buy,8.5,9.0,Other,Bodegas Borsao Tres Picos Garnacha,2010,http://www.reversewinesnob.com/2013/03/borsao-tres-picos-garnacha.html,Red
29,2010 Cameron Hughes Lot 325 Atlas Peak Napa Valley Meritage,Red,Meritage,$11.99,Battle of The Bargain Napa Valley Meritage - Cameron Hughes Lot 325 vs Kirkland Signature (http://www.reversewinesnob.com/2013/09/battle-of-bargain-napa-valley-meritage.html),Bulk Buy,8.5,9.0,Costco,Cameron Hughes Lot 325 Atlas Peak Napa Valley Meritage,2010,http://www.reversewinesnob.com/2013/09/battle-of-bargain-napa-valley-meritage.html,Red
30,2010 Cameron Hughes Lot 354 Crozes-Hermitage,Red,Syrah,$10.99,Cameron Hughes Lot 354 Crozes-Hermitage 2010 - Get It While You Can (http://www.reversewinesnob.com/2014/03/cameron-hughes-lot-354-crozes-hermitage.html),Bulk Buy,8.5,9.0,Costco,Cameron Hughes Lot 354 Crozes-Hermitage,2010,http://www.reversewinesnob.com/2014/03/cameron-hughes-lot-354-crozes-hermitage.html,Red
31,2010 Falesco Merlot Umbria,Red,Merlot,$11.99,Falesco Merlot Umbria 2010 - Just Drink It (http://www.reversewinesnob.com/2014/03/falesco-merlot-umbria.html),Bulk Buy,8.5,9.0,Other,Falesco Merlot Umbria,2010,http://www.reversewinesnob.com/2014/03/falesco-merlot-umbria.html,Red
32,2010 Kendall-Jackson Vintner's Reserve Summation Red Blend,Red,Blend,$11.99,Kendall-Jackson Vintner's Reserve Summation Red Blend 2010 - The Total Package (http://www.reversewinesnob.com/2014/01/kendall-jackson-vintners-reserve-summation-red.html),Bulk Buy,8.5,9.0,Other,Kendall-Jackson Vintner's Reserve Summation Red Blend,2010,http://www.reversewinesnob.com/2014/01/kendall-jackson-vintners-reserve-summation-red.html,Red
33,2010 Kirkland Signature Napa Valley Meritage,Red,Meritage,$10.99,Battle of The Bargain Napa Valley Meritage - Cameron Hughes Lot 325 vs Kirkland Signature (http://www.reversewinesnob.com/2013/09/battle-of-bargain-napa-valley-meritage.html),Bulk Buy,8.5,9.0,Costco,Kirkland Signature Napa Valley Meritage,2010,http://www.reversewinesnob.com/2013/09/battle-of-bargain-napa-valley-meritage.html,Red
34,2010 Ravenswood Napa Valley Old Vine Zinfandel,Red,Zinfandel,$11.99,Ravenswood Napa Valley Old Vine Zinfandel 2010 - Bold Without Being Bombastic (http://www.reversewinesnob.com/2012/12/ravenswood-napa-valley-old-vine-zinfandel.html),Bulk Buy,8.5,9.0,Other,Ravenswood Napa Valley Old Vine Zinfandel,2010,http://www.reversewinesnob.com/2012/12/ravenswood-napa-valley-old-vine-zinfandel.html,Red
35,2011 Argillae Orvieto,White,Blend,$11.99,Excellent Italian Whites - Exploring the White Wines of Italy Including Two Bulk Buy Selections! (http://www.reversewinesnob.com/2013/05/excellent-italian-whites.html),Bulk Buy,8.5,9.0,Other,Argillae Orvieto,2011,http://www.reversewinesnob.com/2013/05/excellent-italian-whites.html,White
36,2011 Hahn Winery California Pinot Noir,Red,Pinot Noir,$11.99,Hahn Winery California Pinot Noir 2011 - A Brilliant Bargain (Bulk Buy) (http://www.reversewinesnob.com/2012/08/hahn-winery-california-pinot-noir-2011.html),Bulk Buy,8.5,9.0,Costco,Hahn Winery California Pinot Noir,2011,http://www.reversewinesnob.com/2012/08/hahn-winery-california-pinot-noir-2011.html,Red
37,2011 Kendall-Jackson Vintner's Reserve Syrah,Red,Syrah,$11.99,Kendall-Jackson Vintner's Reserve Syrah 2011 - Super Smooth and Smoky (http://www.reversewinesnob.com/2014/04/kendall-jackson-vintners-reserve-syrah.html),Bulk Buy,8.5,9.0,Other,Kendall-Jackson Vintner's Reserve Syrah,2011,http://www.reversewinesnob.com/2014/04/kendall-jackson-vintners-reserve-syrah.html,Red
38,2011 Paul Mas Estate Single Vineyard Collection Gardemiel Vineyard Malbec,Red,Malbec,$11.99,Paul Mas Estate Single Vineyard Collection Malbec 2011 - A Throwback (http://www.reversewinesnob.com/2013/12/paul-mas-estate-single-vineyard-malbec.html),Bulk Buy,8.5,9.0,Other,Paul Mas Estate Single Vineyard Collection Gardemiel Vineyard Malbec,2011,http://www.reversewinesnob.com/2013/12/paul-mas-estate-single-vineyard-malbec.html,Red
39,2011 The Crusher Grower's Selection Petite Sirah ,Red,Petite Sirah,$11.99,The Crusher Grower's Selection Petite Sirah 2011 - Crushes It! (http://www.reversewinesnob.com/2013/03/the-crusher-growers-selection-petite-sirah.html),Bulk Buy,8.5,9.0,Other,The Crusher Grower's Selection Petite Sirah ,2011,http://www.reversewinesnob.com/2013/03/the-crusher-growers-selection-petite-sirah.html,Red
40,2011 Trimbach Pinot Blanc,White,Pinot Blanc,$11.99,Trimbach Pinot Blanc 2011 - A Summertime Superstar (http://www.reversewinesnob.com/2014/06/trimbach-pinot-blanc.html),Bulk Buy,8.5,9.0,Other,Trimbach Pinot Blanc,2011,http://www.reversewinesnob.com/2014/06/trimbach-pinot-blanc.html,White
41,2011 Trivento Amado Sur Malbec,Red,Malbec,$11.99,Trivento Amado Sur Malbec 2011 - An Excellent Choice On Any Day (http://www.reversewinesnob.com/2013/04/trivento-amado-sur-malbec.html),Bulk Buy,8.5,9.0,Other,Trivento Amado Sur Malbec,2011,http://www.reversewinesnob.com/2013/04/trivento-amado-sur-malbec.html,Red
42,2012 Avalon Napa Valley Cabernet Sauvignon,Red,Cabernet Sauvignon,$11.99,"Avalon Napa Valley Cabernet Sauvignon 2012 - Fit For A King, Priced For A Pauper (http://www.reversewinesnob.com/2014/09/avalon-napa-valley-cabernet-sauvignon.html)",Bulk Buy,8.5,9.0,Other,Avalon Napa Valley Cabernet Sauvignon,2012,http://www.reversewinesnob.com/2014/09/avalon-napa-valley-cabernet-sauvignon.html,Red
43,2012 Cameron Hughes Lot 395 Russian River Valley Pinot Noir,Red,Pinot Noir,$11.99,Cameron Hughes Lot 395 Pinot Noir 2012 - A Russian River Valley Value (http://www.reversewinesnob.com/2014/02/cameron-hughes-lot-395-russian-river-valley-pinot-noir.html),Bulk Buy,8.5,9.0,Other,Cameron Hughes Lot 395 Russian River Valley Pinot Noir,2012,http://www.reversewinesnob.com/2014/02/cameron-hughes-lot-395-russian-river-valley-pinot-noir.html,Red
44,2012 puklavec & friends Sauvignon Blanc & Pinot Grigio,White,Blend,$11.99,puklavec & friends Sauvignon Blanc & Pinot Grigio 2012 - Highly Quaffable (http://www.reversewinesnob.com/2014/03/puklavec-friends-sauvignon-blanc-pinot-grigio.html),Bulk Buy,8.5,9.0,Other,puklavec & friends Sauvignon Blanc & Pinot Grigio,2012,http://www.reversewinesnob.com/2014/03/puklavec-friends-sauvignon-blanc-pinot-grigio.html,White
45,Les Petits Grains Muscat de Saint Jean de Minervois,Dessert,Muscat,$11.99,A Sweet and Luscious Bulk Buy (http://www.reversewinesnob.com/2012/04/les-petits-grains-muscat-de-saint-jean.html),Bulk Buy,8.5,9.0,Other,Petits Grains Muscat de Saint Jean de Minervois,Les,http://www.reversewinesnob.com/2012/04/les-petits-grains-muscat-de-saint-jean.html,Dessert
46,2010 Cecchetti Wine Company Redtree Moscato,Dessert,Moscato,$4.99,A Deliciously Sweet Bulk Buy! (http://www.reversewinesnob.com/2012/03/redtree-moscato-2010-cecchetti-wine.html),Bulk Buy,8.5,8.0,Other,Cecchetti Wine Company Redtree Moscato,2010,http://www.reversewinesnob.com/2012/03/redtree-moscato-2010-cecchetti-wine.html,Dessert
47,2010 Los Dos Grenache + Syrah,Red,Garnacha,$5.99,Los Dos Grenache + Syrah 2010 - Another Spanish Wonder (http://www.reversewinesnob.com/2012/11/los-dos-grenache-syrah-2010-another-spanish-wonder.html),Bulk Buy,8.5,8.0,Other,Los Dos Grenache + Syrah,2010,http://www.reversewinesnob.com/2012/11/los-dos-grenache-syrah-2010-another-spanish-wonder.html,Red
48,2012 Bonny Doon Vineyard Grenache Syrah Mourvedre (GSM),Red,Blend,$5.49,Bonny Doon Vineyard GSM 2012 - A Ridiculously Good Deal On A Ridiculously Good Wine (http://www.reversewinesnob.com/2014/06/bonny-doon-vineyard-gsm.html),Bulk Buy,8.5,8.0,Naked Wines,Bonny Doon Vineyard Grenache Syrah Mourvedre (GSM),2012,http://www.reversewinesnob.com/2014/06/bonny-doon-vineyard-gsm.html,Red
49,2012 Villebois Sauvignon Blanc,White,Sauvignon Blanc,$11.49,The Sauvignon Blanc of Summer - Four Fine Finds From Naked Wines (http://www.reversewinesnob.com/2014/07/the-sauvignon-blanc-of-summer.html),Bulk Buy,8.5,8.0,Naked Wines,Villebois Sauvignon Blanc,2012,http://www.reversewinesnob.com/2014/07/the-sauvignon-blanc-of-summer.html,White
50,2012 Vinchio-Vaglio Serra Piemonte Barbera,Box,Barbera,$15.99,The Best Box Wines - Vinchio-Vaglio Serra Piemonte Barbera 2012 (http://www.reversewinesnob.com/2014/10/best-box-wines-vinchio-vaglio-serra-piemonte-barbera.html),Bulk Buy,8.5,8.0,Other,Vinchio-Vaglio Serra Piemonte Barbera,2012,http://www.reversewinesnob.com/2014/10/best-box-wines-vinchio-vaglio-serra-piemonte-barbera.html,Box
51,2013 La Petite Frog Picpoul De Pinet,Box,Picpoul,$23.99,The Best Box Wines - La Petite Frog Picpoul De Pinet 2013 (http://www.reversewinesnob.com/2014/10/the-best-box-wines-la-petite-frog-picpoul-de-pinet.html),Bulk Buy,8.5,8.0,Other,La Petite Frog Picpoul De Pinet,2013,http://www.reversewinesnob.com/2014/10/the-best-box-wines-la-petite-frog-picpoul-de-pinet.html,Box
52,2013 Vina Borgia Garnacha,Box,Garnacha,$19.99,The Best Box Wines - Vina Borgia Garnacha 2013 (http://www.reversewinesnob.com/2014/10/the-best-box-wines-vina-borgia-garnacha.html),Bulk Buy,8.5,8.0,Other,Vina Borgia Garnacha,2013,http://www.reversewinesnob.com/2014/10/the-best-box-wines-vina-borgia-garnacha.html,Box
53,La Vieille Ferme Vin Rouge,Box,Blend,$19.99,The Best Box Wines - La Vieille Ferme Vin Rouge (http://www.reversewinesnob.com/2014/10/the-best-box-wines-la-vieille-ferme-vin-rouge.html),Bulk Buy,8.5,8.0,Other,Vieille Ferme Vin Rouge,La,http://www.reversewinesnob.com/2014/10/the-best-box-wines-la-vieille-ferme-vin-rouge.html,Box
54,2007 Tenuta Di Arceno Strada al Sasso Chianti Classico Riserva,Red,Sangiovese,$17.99,Tenuta Di Arceno Strada al Sasso Chianti Classico Riserva 2007 - Fantastico! (http://www.reversewinesnob.com/2014/07/tenuta-di-arceno-strada-al-sasso-chianti-classico-riserva.html),Bulk Buy,8.3,10.0,Other,Tenuta Di Arceno Strada al Sasso Chianti Classico Riserva,2007,http://www.reversewinesnob.com/2014/07/tenuta-di-arceno-strada-al-sasso-chianti-classico-riserva.html,Red
55,2009 E. Guigal Crozes-Hermitage,Red,Syrah,$19.99,E. Guigal Crozes-Hermitage 2009 - A Northern Rhone River Valley Value (http://www.reversewinesnob.com/2014/09/e-guigal-crozes-hermitage.html),Bulk Buy,8.3,10.0,Costco,E. Guigal Crozes-Hermitage,2009,http://www.reversewinesnob.com/2014/09/e-guigal-crozes-hermitage.html,Red
56,2009 John Duval Wines Plexus,Red,Blend,$16.99,John Duval Plexus 2009 - Fantastically Good (http://www.reversewinesnob.com/2013/07/john-duval-plexus.html),Bulk Buy,8.3,10.0,Club W,John Duval Wines Plexus,2009,http://www.reversewinesnob.com/2013/07/john-duval-plexus.html,Red
57,2011 Mt. Beautiful North Canterbury Pinot Noir,Red,Pinot Noir,$17.99,Mt. Beautiful North Canterbury Pinot Noir 2011 - Brings Its A-Game (http://www.reversewinesnob.com/2014/01/mt-beautiful-north-canterbury-pinot-noir.html),Bulk Buy,8.3,10.0,Other,Mt. Beautiful North Canterbury Pinot Noir,2011,http://www.reversewinesnob.com/2014/01/mt-beautiful-north-canterbury-pinot-noir.html,Red
58,2003 Scala Dei Priorat Prior,Red,Blend,$12.99,Scala Dei Priorat Prior 2003 - A Heavenly Blend (http://www.reversewinesnob.com/2013/02/scala-dei-priorat-prior-2003-heavenly.html),Bulk Buy,8.3,9.0,Other,Scala Dei Priorat Prior,2003,http://www.reversewinesnob.com/2013/02/scala-dei-priorat-prior-2003-heavenly.html,Red
59,2004 Marques de Vitoria Rioja Gran Reserva,Red,Tempranillo,$12.99,Marques de Vitoria Gran Reserva 2004 - Fabulously Delicious (http://www.reversewinesnob.com/2013/11/marques-de-vitoria-gran-reserva.html),Bulk Buy,8.3,9.0,Other,Marques de Vitoria Rioja Gran Reserva,2004,http://www.reversewinesnob.com/2013/11/marques-de-vitoria-gran-reserva.html,Red
60,2008 Andrew Murray Vineyards Tous Les Jours Syrah,Red,Syrah,$13.99,For Everyday People (http://www.reversewinesnob.com/2011/09/2008-andre-murray-vineyards-syrah-tours.html),Bulk Buy,8.3,9.0,Other,Andrew Murray Vineyards Tous Les Jours Syrah,2008,http://www.reversewinesnob.com/2011/09/2008-andre-murray-vineyards-syrah-tours.html,Red
61,2008 Don & Sons Sonoma Signature Pinot Noir,Red,Pinot Noir,$13.99,Don & Sons Sonoma Signature Pinot Noir 2008 to 2011 Vertical Tasting - Consistently Delicious (http://www.reversewinesnob.com/2013/07/don-sons-sonoma-signature-pinot-noir.html),Bulk Buy,8.3,9.0,Other,Don & Sons Sonoma Signature Pinot Noir,2008,http://www.reversewinesnob.com/2013/07/don-sons-sonoma-signature-pinot-noir.html,Red
62,2009 Bodegas Peique Ramon Valle,Red,Mencia,$12.99,"Bodegas Peique Ramon Valle 2009 - Smoky, Meaty Love (http://www.reversewinesnob.com/2014/06/bodegas-peique-ramon-valle.html)",Bulk Buy,8.3,9.0,Other,Bodegas Peique Ramon Valle,2009,http://www.reversewinesnob.com/2014/06/bodegas-peique-ramon-valle.html,Red
63,2009 Dominio Del Plata BenMarco Cabernet Sauvignon,Red,Malbec,$16.99,BenMarco Cabernet Sauvignon 2009 - Buy It By The Case! (http://www.reversewinesnob.com/2013/01/benmarco-cabernet-sauvignon-2009.html),Bulk Buy,8.3,9.0,Other,Dominio Del Plata BenMarco Cabernet Sauvignon,2009,http://www.reversewinesnob.com/2013/01/benmarco-cabernet-sauvignon-2009.html,Red
64,2009 Don & Sons Sonoma Signature Pinot Noir,Red,Pinot Noir,$13.99,Don & Sons Sonoma Signature Pinot Noir 2008 to 2011 Vertical Tasting - Consistently Delicious (http://www.reversewinesnob.com/2013/07/don-sons-sonoma-signature-pinot-noir.html),Bulk Buy,8.3,9.0,Other,Don & Sons Sonoma Signature Pinot Noir,2009,http://www.reversewinesnob.com/2013/07/don-sons-sonoma-signature-pinot-noir.html,Red
65,2009 Kirkland Signature Rutherford Napa Valley Meritage,Red,Blend,$13.99,http://goo.gl/SHmIv,Bulk Buy,8.3,9.0,Costco,Kirkland Signature Rutherford Napa Valley Meritage,2009,http://goo.gl/SHmIv,Red
66,2009 Masi Agricola Campofiorin Rosso del Veronese,Red,Blend,$12.99,Masi Campofiorin Rosso del Veronese 2009 - A Supervenetian That's Super Good (http://www.reversewinesnob.com/2013/11/masi-campofiorin-rosso-del-veronese.html),Bulk Buy,8.3,9.0,Other,Masi Agricola Campofiorin Rosso del Veronese,2009,http://www.reversewinesnob.com/2013/11/masi-campofiorin-rosso-del-veronese.html,Red
67,2009 Polaner Selections Ex Libris Cabernet Sauvignon,Red,Cabernet Sauvignon,$13.99,Ex Libris Cabernet Sauvignon 2009 - One Cool Cabernet (http://www.reversewinesnob.com/2013/02/ex-libris-cabernet-sauvignon.html),Bulk Buy,8.3,9.0,Other,Polaner Selections Ex Libris Cabernet Sauvignon,2009,http://www.reversewinesnob.com/2013/02/ex-libris-cabernet-sauvignon.html,Red
68,2009 Trimbach Riesling,White,Riesling,$13.99,Trimbach Riesling 2009 - A Delicately Delicious Bulk Buy! (http://www.reversewinesnob.com/2012/09/trimbach-riesling-2009.html),Bulk Buy,8.3,9.0,Other,Trimbach Riesling,2009,http://www.reversewinesnob.com/2012/09/trimbach-riesling-2009.html,White
69,2010 Bonny Doon Vin Gris de Cigare Rosé,Rosé,Blend,$12.99,Fantastic! (http://goo.gl/Fjx1p),Bulk Buy,8.3,9.0,Other,Bonny Doon Vin Gris de Cigare Rosé,2010,http://goo.gl/Fjx1p,Rosé
70,2010 Castell del Remei Sicoris Costers del Segre,Red,Blend,$12.99,Sicoris Costers del Segre 2010 - Five Of My Favorite Things (http://www.reversewinesnob.com/2014/01/sicoris-costers-del-segre.html),Bulk Buy,8.3,9.0,Other,Castell del Remei Sicoris Costers del Segre,2010,http://www.reversewinesnob.com/2014/01/sicoris-costers-del-segre.html,Red
